Main_AA,Sub_AA,Rlab_PTSCwScore
Alanine,Alanine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4
Alanine,Arginine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Alanine,Asparagine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m1
Alanine,Aspartic acid,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_N:0
Alanine,Cysteine,APT_N:0|ICP_N:0|ECP_DF:m4|MEP_N:0
Alanine,Glutamine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Alanine,Glutamic acid,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Alanine,Glycine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:1
Alanine,Histidine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Alanine,Isoleucine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Alanine,Leucine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Alanine,Lysine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Alanine,Methionine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Alanine,Phenylalanine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m2
Alanine,Proline,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Alanine,Serine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:2
Alanine,Threonine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:1
Alanine,Tryptophan,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m4
Alanine,Tyrosine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Alanine,Valine,APT_N:0|ICP_N:0|ECP_N:0|MEP_N:0
Arginine,Alanine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Arginine,Arginine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:10
Arginine,Asparagine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:2
Arginine,Aspartic acid,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_F:1
Arginine,Cysteine,APT_DF:m3|ICP_DF:m1|ECP_DF:m5|MEP_DF:m1
Arginine,Glutamine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:6
Arginine,Glutamic acid,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:2
Arginine,Glycine,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_N:0
Arginine,Histidine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:5
Arginine,Isoleucine,APT_DF:m3|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Arginine,Leucine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Arginine,Lysine,APT_F:2|ICP_F:1|ECP_F:1|MEP_F:9
Arginine,Methionine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Arginine,Phenylalanine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Arginine,Proline,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_DF:m3
Arginine,Serine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Arginine,Threonine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Arginine,Tryptophan,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_F:5
Arginine,Tyrosine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m1
Arginine,Valine,APT_DF:m3|ICP_DF:m1|ECP_N:0|MEP_DF:m2
Asparagine,Alanine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m1
Asparagine,Arginine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:2
Asparagine,Asparagine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:7
Asparagine,Aspartic acid,APT_F:1|ICP_F:1|ECP_F:1|MEP_F:6
Asparagine,Cysteine,APT_DF:m3|ICP_DF:m1|ECP_DF:m6|MEP_DF:m1
Asparagine,Glutamine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:3
Asparagine,Glutamic acid,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:1
Asparagine,Glycine,APT_N:0|ICP_N:0|ECP_N:0|MEP_DF:m2
Asparagine,Histidine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:3
Asparagine,Isoleucine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Asparagine,Leucine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m4
Asparagine,Lysine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:5
Asparagine,Methionine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m2
Asparagine,Phenylalanine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m4
Asparagine,Proline,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m2
Asparagine,Serine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:2
Asparagine,Threonine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:1
Asparagine,Tryptophan,APT_DF:m4|ICP_DF:m2|ECP_DF:m3|MEP_DF:m3
Asparagine,Tyrosine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m1
Asparagine,Valine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Aspartic acid,Alanine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_N:0
Aspartic acid,Arginine,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_F:1
Aspartic acid,Asparagine,APT_F:1|ICP_F:1|ECP_F:1|MEP_F:6
Aspartic acid,Aspartic acid,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4|
Aspartic acid,Cysteine,APT_DF:m3|ICP_DF:m2|ECP_DF:m7|MEP_DF:m3
Aspartic acid,Glutamine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:2
Aspartic acid,Glutamic acid,APT_F:2|ICP_F:1|ECP_N:0|MEP_F:8
Aspartic acid,Glycine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_F:2
Aspartic acid,Histidine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_F:3
Aspartic acid,Isoleucine,APT_DF:m3|ICP_DF:m3|ECP_DF:m2|MEP_DF:m3
Aspartic acid,Leucine,APT_DF:m4|ICP_DF:m3|ECP_DF:m2|MEP_DF:m5
Aspartic acid,Lysine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_F:3
Aspartic acid,Methionine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m3
Aspartic acid,Phenylalanine,APT_DF:m3|ICP_DF:m3|ECP_DF:m2|MEP_DF:m6
Aspartic acid,Proline,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Aspartic acid,Serine,APT_N:0|ICP_N:0|ECP_N:0|MEP_N:0
Aspartic acid,Threonine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Aspartic acid,Tryptophan,APT_DF:m4|ICP_DF:m2|ECP_DF:m3|MEP_DF:m4
Aspartic acid,Tyrosine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m2
Aspartic acid,Valine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Cysteine,Alanine,APT_N:0|ICP_N:0|ECP_DF:m4|MEP_N:0
Cysteine,Arginine,APT_DF:m3|ICP_DF:m1|ECP_DF:m5|MEP_DF:m1
Cysteine,Asparagine,APT_DF:m3|ICP_DF:m1|ECP_DF:m6|MEP_DF:m1
Cysteine,Aspartic acid,APT_DF:m3|ICP_DF:m2|ECP_DF:m7|MEP_DF:m3
Cysteine,Cysteine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4
Cysteine,Glutamine,APT_DF:m3|ICP_DF:m2|ECP_DF:m5|MEP_DF:m3
Cysteine,Glutamic acid,APT_DF:m4|ICP_DF:m2|ECP_DF:m6|MEP_DF:m3
Cysteine,Glycine,APT_DF:m3|ICP_DF:m1|ECP_DF:m6|MEP_DF:m1
Cysteine,Histidine,APT_DF:m3|ICP_N:0|ECP_DF:m5|MEP_DF:m1
Cysteine,Isoleucine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_DF:m1
Cysteine,Leucine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_DF:m1
Cysteine,Lysine,APT_DF:m3|ICP_DF:m1|ECP_DF:m6|MEP_DF:m3
Cysteine,Methionine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_DF:m1
Cysteine,Phenylalanine,APT_DF:m2|ICP_N:0|ECP_DF:m5|MEP_F:1
Cysteine,Proline,APT_DF:m3|ICP_DF:m2|ECP_DF:m6|MEP_DF:m3
Cysteine,Serine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_F:2
Cysteine,Threonine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_N:0
Cysteine,Tryptophan,APT_DF:m2|ICP_DF:m1|ECP_DF:m5|MEP_F:1
Cysteine,Tyrosine,APT_DF:m2|ICP_N:0|ECP_DF:m4|MEP_F:3
Cysteine,Valine,APT_DF:m1|ICP_N:0|ECP_DF:m4|MEP_N:0
Glutamine,Alanine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Glutamine,Arginine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:5
Glutamine,Asparagine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:3
Glutamine,Aspartic acid,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:2
Glutamine,Cysteine,APT_DF:m3|ICP_DF:m2|ECP_DF:m5|MEP_DF:m3
Glutamine,Glutamine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:10
Glutamine,Glutamic acid,APT_F:2|ICP_F:1|ECP_N:0|MEP_F:7
Glutamine,Glycine,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_DF:m2
Glutamine,Histidine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:7
Glutamine,Isoleucine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Glutamine,Leucine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m2
Glutamine,Lysine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:6
Glutamine,Methionine,APT_N:0|ICP_N:0|ECP_N:0|MEP_DF:m2
Glutamine,Phenylalanine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m4
Glutamine,Proline,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Glutamine,Serine,APT_N:0|ICP_N:0|ECP_N:0|MEP_DF:m1
Glutamine,Threonine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Glutamine,Tryptophan,APT_DF:m2|ICP_DF:m2|ECP_DF:m1|MEP_N:0
Glutamine,Tyrosine,APT_DF:m1|ICP_DF:m1|ECP_DF:m1|MEP_N:0
Glutamine,Valine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m4
Glutamic acid,Alanine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Glutamic acid,Arginine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:2
Glutamic acid,Asparagine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:1
Glutamic acid,Aspartic acid,APT_F:2|ICP_F:1|ECP_N:0|MEP_F:8
Glutamic acid,Cysteine,APT_DF:m4|ICP_DF:m2|ECP_DF:m6|MEP_DF:m3
Glutamic acid,Glutamine,APT_F:2|ICP_F:1|ECP_N:0|MEP_F:7
Glutamic acid,Glutamic acid,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:10
Glutamic acid,Glycine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_F:3
Glutamic acid,Histidine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:2
Glutamic acid,Isoleucine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Glutamic acid,Leucine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m5
Glutamic acid,Lysine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:1
Glutamic acid,Methionine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Glutamic acid,Phenylalanine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m6
Glutamic acid,Proline,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m3
Glutamic acid,Serine,APT_N:0|ICP_N:0|ECP_N:0|MEP_N:0
Glutamic acid,Threonine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Glutamic acid,Tryptophan,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Glutamic acid,Tyrosine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m5
Glutamic acid,Valine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m2
Glycine,Alanine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:1
Glycine,Arginine,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_N:0
Glycine,Asparagine,APT_N:0|ICP_N:0|ECP_N:0|MEP_DF:m2
Glycine,Aspartic acid,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_F:3
Glycine,Cysteine,APT_DF:m3|ICP_DF:m1|ECP_DF:m6|MEP_DF:m1
Glycine,Glutamine,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_DF:m1
Glycine,Glutamic acid,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_F:3
Glycine,Glycine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4
Glycine,Histidine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Glycine,Isoleucine,APT_DF:m4|ICP_DF:m3|ECP_DF:m2|MEP_DF:m2
Glycine,Leucine,APT_DF:m4|ICP_DF:m3|ECP_DF:m2|MEP_DF:m4
Glycine,Lysine,APT_DF:m2|ICP_N:0|ECP_DF:m1|MEP_DF:m1
Glycine,Methionine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m3
Glycine,Phenylalanine,APT_DF:m3|ICP_DF:m3|ECP_DF:m3|MEP_DF:m5
Glycine,Proline,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_DF:m1
Glycine,Serine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:1
Glycine,Threonine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_N:0
Glycine,Tryptophan,APT_DF:m2|ICP_DF:m2|ECP_DF:m2|MEP_DF:m2
Glycine,Tyrosine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m5
Glycine,Valine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m1
Histidine,Alanine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Histidine,Arginine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:5
Histidine,Asparagine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:3
Histidine,Aspartic acid,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_F:3
Histidine,Cysteine,APT_DF:m3|ICP_N:0|ECP_DF:m5|MEP_DF:m1
Histidine,Glutamine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:7
Histidine,Glutamic acid,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:2
Histidine,Glycine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Histidine,Histidine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:10
Histidine,Isoleucine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Histidine,Leucine,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_DF:m4
Histidine,Lysine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_F:4
Histidine,Methionine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Histidine,Phenylalanine,APT_DF:m1|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Histidine,Proline,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m4
Histidine,Serine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Histidine,Threonine,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_DF:m2
Histidine,Tryptophan,APT_DF:m2|ICP_N:0|ECP_DF:m1|MEP_DF:m1
Histidine,Tyrosine,APT_F:2|ICP_F:1|ECP_N:0|MEP_F:6
Histidine,Valine,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_DF:m4
Isoleucine,Alanine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Isoleucine,Arginine,APT_DF:m3|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Isoleucine,Asparagine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Isoleucine,Aspartic acid,APT_DF:m3|ICP_DF:m3|ECP_DF:m2|MEP_DF:m3
Isoleucine,Cysteine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_DF:m1
Isoleucine,Glutamine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Isoleucine,Glutamic acid,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Isoleucine,Glycine,APT_DF:m4|ICP_DF:m3|ECP_DF:m2|MEP_DF:m2
Isoleucine,Histidine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Isoleucine,Isoleucine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4
Isoleucine,Leucine,APT_F:2|ICP_F:2|ECP_F:1|MEP_F:1
Isoleucine,Lysine,APT_DF:m3|ICP_DF:m1|ECP_N:0|MEP_DF:m4
Isoleucine,Methionine,APT_F:1|ICP_F:1|ECP_N:0|MEP_F:1
Isoleucine,Phenylalanine,APT_N:0|ICP_N:0|ECP_N:0|MEP_DF:m1
Isoleucine,Proline,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Isoleucine,Serine,APT_DF:m2|ICP_DF:m2|ECP_DF:m1|MEP_DF:m1
Isoleucine,Threonine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Isoleucine,Tryptophan,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
